70,"অংকুৰণ যুৱ সংঘৰ সাংস্কৃতিক কেন্দ্ৰ নিৰ্মাণ হোলোং গুটিবাৰী, মাজগাঁও",,,,200000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
71,ৰহবাৰী কমিউনিটি হল পুনৰ নিৰ্মাণ,,,,100000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
72,দুৱাৰমাৰা চিংফৌ বৌদ্ধিছ কমিউনিটি হল পকীবেৰ নির্মাণ,,,,200000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
73,মালিগাঁও কমিউনিটি হল,,,,150000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
74,নতুন মাইঠং কমিউনিটি হল,,,,150000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
75,চিলিং মাটি গাঁও কমিউনিটি হল,,,,200000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
76,দুৱাৰমৰা চাহ বাগিচা কমিউনিটি হল,,,,150000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
77,ব্রহ্মাজান কমিউনিটি হলৰ উন্নয়ন,,,,200000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
78,৩নং ডিব্ৰুজান কমিউনিটি হল,,,,200000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
79,২নং অম্বিকাপুৰ চট ঘাট নির্মাণ,,,,100000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
80,বাংলা লাইন কমিউনিটি হল,,,,150000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
81,২নং টকৌপথাৰ সীমাৰ পকীবেৰ নিৰ্মাণ,,,,150000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
82,"জ্যাংমলা স্বর্গী কমিউনিটি হল, বিষ্ণুপুৰ",,,,100000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
83,মাইচাংপানী বালিচাপৰি কমিউনিটি হল,,,,100000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
84,নগাপথাৰ শনিবাৰ বজাৰ যাত্ৰীৰ জিৰণী গৃহ,,,,150000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
85,মানমৌজান কমিউনিটি হল খাটাংপানী,,,,150000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
86,লংগাঁও কমিউনিটি হল,,,,150000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
87,"২নং খামান পথাৰ কমিউনিটি হল, সীমাৰ পকীবেৰ নির্মাণ",,,,150000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
88,২নং ডিবং কমিউনিটি হল নির্মাণ,,,,200000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
89,নংলাই কমিউনিটি হল,,,,150000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
90,৩নং মাকুমপথাৰ হল নির্মাণ,,,,150000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
91,দিহিং টি. ই. ১৯নং কমিউনিটি হল,,,,100000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
92,১নং আলুবাৰী কমিউনিটি হলৰ সীমাবেৰ নির্মাণ,,,,150000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
93,৪নং মাকумপথাৰ কমিউনিটি হলৰ গ্রীল নির্মাণ,,,,100000,2017-18,,,,1,1,2025-03-15 09:31:25.274+00,2025-03-15 09:31:25.274+00,,FALSE,
